Day of Completed At Order,Order Number,Lat,Lng,Total weights per order,Region,Address Province Group,Ship Province,Geo District
15-07-2024,R026356688,13.720232,100.569163,3,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตคลองเตย
15-07-2024,R911977569,13.700859,100.535573,5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตยานนาวา
15-07-2024,R141279462,13.605307,100.645849,22,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอเมืองสมุทรปราการ
15-07-2024,R147934267,13.827124,100.546422,10.29,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจตุจักร
15-07-2024,R882197174,13.695061,100.692587,15.3,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขต ประเวศ
15-07-2024,R907981341,13.737985,100.5115,8.1,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสัมพันธวงศ์
15-07-2024,R742227161,13.833296,100.645321,5.65,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบึงกุ่ม
15-07-2024,R773368227,13.873098,100.659539,1.4,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางเขน
15-07-2024,R567598028,13.986061,100.70406,19.16,BKK,ปทุมธานี,ปทุมธานี,อำเภอลำลูกกา
15-07-2024,R385587357,14.110487,99.322342,8.2,UPC,UPC,กาญจนบุรี,อำเภอเมืองกาญจนบุรี
15-07-2024,R029359547,13.786696,100.572051,5.02,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตดินแดง
15-07-2024,R369262073,13.736751,100.447105,2.7,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตภาษีเจริญ
15-07-2024,R162257283,13.054145,99.941994,1,UPC,UPC,เพชรบุรี,อำเภอบ้านลาด
15-07-2024,R020147588,13.687882,100.603491,9.4,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตพระโขนง
15-07-2024,R733178516,13.816189,100.439845,17.845,BKK,นนทบุรี,นนทบุรี,อำเภอบางกรวย
15-07-2024,R946639169,13.735393,100.539284,20.65,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตปทุมวัน
15-07-2024,R847613978,13.716481,100.818604,11.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตลาดกระบัง
15-07-2024,R543417869,13.809374,100.531963,34.875,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางซื่อ
15-07-2024,R295816589,13.750852,100.514002,20.13,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย
15-07-2024,R866635786,13.721222,100.507171,5.33,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตคลองสาน
15-07-2024,R397746234,13.962357,100.486504,2.028,BKK,ปทุมธานี,ปทุมธานี,อำเภอเมืองปทุมธานี
15-07-2024,R829400819,7.336565,100.436374,1.8,UPC,UPC,สงขลา,อำเภอ สิงหนคร
15-07-2024,R454723811,13.866368,100.562774,27.375,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตหลักสี่
15-07-2024,R502809065,13.734855,100.515614,15,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสัมพันธวงศ์
15-07-2024,R192610896,13.8259,100.544372,10.1,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจตุจักร
15-07-2024,R336999592,13.737643,100.56684,44.65,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตวัฒนา
15-07-2024,R588646381,13.877794,100.468415,6.8,BKK,นนทบุรี,นนทบุรี,อำเภอเมืองนนทบุรี
15-07-2024,R092753177,13.797596,100.533945,24.2,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางซื่อ
15-07-2024,R578885348,13.765693,100.54252,5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตพญาไท
15-07-2024,R480347740,16.325965,102.851652,4.1,UPC,UPC,ขอนแก่น,อำเภอเมืองขอนแก่น
15-07-2024,R340132003,13.729566,100.571267,19.05,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตวัฒนา
15-07-2024,R636265361,13.809864,100.606058,12.64,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตลาดพร้าว
15-07-2024,R836798544,13.738145,100.606646,1.2,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสวนหลวง
15-07-2024,R950555666,13.724207,100.584238,29,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตวัฒนา
15-07-2024,R027888373,13.781325,100.472424,9.3,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางกอกน้อย
15-07-2024,R785983209,13.859767,100.671324,5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางเขน
15-07-2024,R193116763,13.684716,100.604285,11.65,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตพระโขนง
15-07-2024,R900116624,13.658267,100.597889,5.925,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอเมืองสมุทรปราการ
15-07-2024,R217584596,13.824806,100.635462,7.73,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบึงกุ่ม
15-07-2024,R741899723,14.132181,100.642301,4.3,BKK,ปทุมธานี,ปทุมธานี,อำเภอคลองหลวง
15-07-2024,R620526430,13.763488,100.499857,17.35,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตพระนคร
15-07-2024,R019335268,13.786333,100.494892,18.2,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางพลัด
15-07-2024,R133779945,13.638407,100.851984,2,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอบางบ่อ
15-07-2024,R810042188,13.825163,100.619407,4,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตลาดพร้าว
15-07-2024,R502386472,13.733672,100.664012,9.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขต ประเวศ
15-07-2024,R906934877,13.895787,100.681607,22.1,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสายไหม
15-07-2024,R725945078,13.644823,100.669793,6.85,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอบางพลี
15-07-2024,R644291703,13.717066,100.49452,7.9,BKK,กรุงเทพฯ,กรุงเทพมหานคร,คลองสาน
15-07-2024,R835596515,13.814269,102.071102,10,UPC,UPC,สระแก้ว,อำเภอเมืองสระแก้ว
